Country name,GINI_final
Costa Rica,0.786516607
Mozambique,0.784366608
Namibia,0.771211088
Swaziland,0.732568085
United Arab Emirates,0.721078634
Malawi,0.702330112
United States,0.701417923
Sierra Leone,0.690721095
South Africa,0.685774684
Burundi,0.680812716
Honduras,0.672158837
Haiti,0.669433951
Algeria,0.667871892
Liberia,0.661966324
Uganda,0.655502677
Rwanda,0.647505581
Guatemala,0.634369075
Zambia,0.619443059
Botswana,0.616160452
Chad,0.60765475
Benin,0.606243253
Burkina Faso,0.605102122
Cambodia,0.603439152
Guinea,0.603387713
Mali,0.598786891
Comoros,0.598217666
Congo (Brazzaville),0.597126544
Libya,0.596754014
Gambia,0.592391193
Kenya,0.584187031
Madagascar,0.576086402
Panama,0.570101619
Tanzania,0.568629265
Laos,0.552090645
Morocco,0.543106675
Zimbabwe,0.541771829
China,0.538205683
Cameroon,0.521751046
Ivory Coast,0.52024436
Dominican Republic,0.52009505
Colombia,0.506853819
Peru,0.503060997
Nepal,0.497896463
Gabon,0.485094249
Palestinian Territories,0.48242107
Thailand,0.482406765
Denmark,0.479050666
Niger,0.4766843483333333
Philippines,0.474451542
Saudi Arabia,0.472084254
Netherlands,0.467997849
Canada,0.46544224
Indonesia,0.464347184
Italy,0.457490861
Mexico,0.456424832
Albania,0.456174195
Bolivia,0.450113028
Mauritania,0.449593500155726
Cyprus,0.448661059
Yemen,0.448596567
Nigeria,0.448463321
Togo,0.444903791
Malaysia,0.4447622
El Salvador,0.444246531
Iran,0.44058615
Ethiopia,0.440552592
Ecuador,0.438511908
Uruguay,0.437541783
Chile,0.434312701
Mauritius,0.432353795
Tunisia,0.431391299
Australia,0.429814219
Nicaragua,0.429590642
India,0.428205669
Myanmar,0.424045384
Brazil,0.420397133
Georgia,0.419812053
Japan,0.418661803
Portugal,0.41846633
United Kingdom,0.417473197
Vietnam,0.415666252
Sri Lanka,0.408001781
Montenegro,0.406528622
Armenia,0.406403482
Argentina,0.40535593
Kosovo,0.402302265
Moldova,0.400689602
Singapore,0.399787635
South Korea,0.398590952
Russia,0.395370573
Senegal,0.393896788
Jordan,0.391051114
Kyrgyzstan,0.388922274
New Zealand,0.388641357
Bosnia and Herzegovina,0.385817498
Malta,0.385406852
Uzbekistan,0.384973526
Kazakhstan,0.384010792
Pakistan,0.381664693
Sweden,0.381509691
Bangladesh,0.367609113
Estonia,0.367194861
Ireland,0.366410613
Mongolia,0.364350021
Turkey,0.36262396
Finland,0.362294197
France,0.360965639
Spain,0.359143615
Venezuela,0.3586736551111111
Serbia,0.356202871
Ukraine,0.349749237
Slovenia,0.34900409
Romania,0.348827481
Bulgaria,0.341206521
Macedonia,0.340062618
Norway,0.336649179
Latvia,0.330420047
Taiwan Province of China,0.330177575
Lithuania,0.330166399
Luxembourg,0.326442361
Egypt,0.323928565
Croatia,0.322490156
Switzerland,0.320724994
Lebanon,0.319639176
Greece,0.315494269
Belgium,0.299524575
Austria,0.299504399
Belarus,0.293443888
Afghanistan,0.290681332
Germany,0.283512622
Slovakia,0.274584681
Turkmenistan,0.271069974
Israel,0.261861771
Azerbaijan,0.260409832
Czech Republic,0.254285723
North Cyprus,0.200969219
